SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO
PI,DEPUTADO FEDERAL,2323,MARCOS DANILSON,23,CIDADANIA
SP,DEPUTADO FEDERAL,4404,GIL DO CONSELHO ,44,UNI�O
AP,DEPUTADO ESTADUAL,70223,IRLAN GUEDES,70,AVANTE
SC,SENADOR,500,AFR�NIO BOPPR�,50,PSOL
SP,DEPUTADO ESTADUAL,13110,BARBA,13,PT
MA,DEPUTADO ESTADUAL,50777,ALEXSANDRA,50,PSOL
MG,DEPUTADO FEDERAL,1655,FLAVIA VALLE MRT,16,PSTU
BA,DEPUTADO ESTADUAL,11007,DELEGADA MARITTA SOUZA,11,PP
RJ,DEPUTADO FEDERAL,4418,MARGARIDA,44,UNI�O
CE,DEPUTADO ESTADUAL,65000,DRA TA�S MATOS,65,PC do B
PI,DEPUTADO FEDERAL,1340,WILSON MARTINS,13,PT
SP,DEPUTADO FEDERAL,1389,DEPUTADO ALFREDINHO,13,PT
SP,DEPUTADO ESTADUAL,44451,ALEM�O DO CONSELHO,44,UNI�O
SP,DEPUTADO ESTADUAL,36117,DRA SILMARA SILVA,36,AGIR
SP,DEPUTADO ESTADUAL,36820,WILLIANS ROCHA - Z� BONITINHO,36,AGIR
SP,DEPUTADO ESTADUAL,36030,FERNANDO BARBOSA,36,AGIR
RJ,DEPUTADO ESTADUAL,70170,DR ABEL DONATO DELUQUI,70,AVANTE
RJ,DEPUTADO FEDERAL,7023,MARTA SCAVUZZI,70,AVANTE
RN,DEPUTADO ESTADUAL,50111,GEOVANI BORRACHA,50,PSOL
AL,DEPUTADO ESTADUAL,22007,BETO JORD�O,22,PL
PR,DEPUTADO FEDERAL,4443,ANE KLEIN,44,UNI�O
AM,DEPUTADO ESTADUAL,22456,BARBARA BELOTA,22,PL
SP,DEPUTADO ESTADUAL,23011,HARLLEM GON�ALVES,23,CIDADANIA
PE,DEPUTADO ESTADUAL,22227,C�CERA � AGORA,22,PL
RR,DEPUTADO ESTADUAL,15315,KELIANE BARROS,15,MDB
RS,DEPUTADO FEDERAL,1033,CORONEL BONFANTI,10,REPUBLICANOS
ES,DEPUTADO FEDERAL,1022,DEVANIR FERREIRA,10,REPUBLICANOS
SC,DEPUTADO ESTADUAL,27444,FABRICIO BIANCHINI,27,DC
MG,DEPUTADO ESTADUAL,19007,DONISETE RIBEIRO,19,PODE
PE,DEPUTADO ESTADUAL,27627,PROFESSOR SANTANA,27,DC
PR,DEPUTADO FEDERAL,3030,RODRIGO MARCIAL,30,NOVO
RJ,DEPUTADO ESTADUAL,29329,EDUARDO LOPES,29,PCO
PR,DEPUTADO ESTADUAL,36368,VALTER MOTORISTA,36,AGIR
GO,DEPUTADO FEDERAL,1193,SARGENTO SILVIA,11,PP
GO,DEPUTADO FEDERAL,2033,VALERIANO ABREU,20,PSC
MT,DEPUTADO ESTADUAL,23999,PROF GILMAR MIRANDA,23,CIDADANIA
SP,DEPUTADO ESTADUAL,22677,CABO ANDERSON,22,PL
MT,SENADOR,300,FELICIANO AZUAGA,30,NOVO
CE,DEPUTADO FEDERAL,5544,DR PAULO LE�O,55,PSD
CE,SENADOR,131,CAMILO,13,PT
MG,DEPUTADO ESTADUAL,18900,LUCAS LASMAR,18,REDE
GO,DEPUTADO ESTADUAL,36999,GUGU NADER,36,AGIR
MA,DEPUTADO FEDERAL,2221,CHIC�O DOS TECLADOS,22,PL
RJ,DEPUTADO ESTADUAL,90678,TARCISIO TEIXEIRA,90,PROS
RJ,DEPUTADO ESTADUAL,90190,CAPIT�O REIS,90,PROS
RJ,DEPUTADO ESTADUAL,40440,ELAINE FERREIRA,40,PSB
PR,DEPUTADO ESTADUAL,51777,CAROL DIAS,51,PATRIOTA
MA,DEPUTADO ESTADUAL,36852,RICARDO LOPES,36,AGIR
GO,DEPUTADO FEDERAL,1111,ADRIANO DO BALDY,11,PP
PA,DEPUTADO ESTADUAL,70789,KATIANE SILVA,70,AVANTE
GO,DEPUTADO ESTADUAL,13013,K�TIA,13,PT
RJ,DEPUTADO FEDERAL,1072,LU SANTOS,10,REPUBLICANOS
PA,DEPUTADO ESTADUAL,19123,RILDO PESSOA,19,PODE
SP,DEPUTADO FEDERAL,3517,JUAREZ DA INTERNET,35,PMB
SP,DEPUTADO ESTADUAL,15001,HUGO SANTOS DE MARIA,15,MDB
SP,DEPUTADO ESTADUAL,15550,BI� CRUZ,15,MDB
ES,DEPUTADO ESTADUAL,15600,PASTOR JESS�,15,MDB
SE,SENADOR,222,DR. EDUARDO AMORIM,22,PL
MG,DEPUTADO FEDERAL,3331,PAULINHO TOTONHO,33,PMN
PB,DEPUTADO ESTADUAL,45333,TARCISIO MARCELO,45,PSDB
CE,DEPUTADO ESTADUAL,15444,BAL�O DO POVO,15,MDB
RJ,DEPUTADO FEDERAL,7721,HAROLDO PE�ANHA,77,SOLIDARIEDADE
AM,DEPUTADO ESTADUAL,51555,LICO ARA�JO,51,PATRIOTA
BA,DEPUTADO ESTADUAL,44345,DENIZE DA PAR�QUIA,44,UNI�O
RS,DEPUTADO ESTADUAL,51000,ANDRE PRETTO,51,PATRIOTA
MS,DEPUTADO FEDERAL,1567,DR JAMAL,15,MDB
GO,DEPUTADO ESTADUAL,70111,ALEXANDRE TOP TREINAMENTO,70,AVANTE
MT,DEPUTADO FEDERAL,1010,EDUARDO MAGALH�ES,10,REPUBLICANOS
GO,DEPUTADO FEDERAL,2812,DR. ANISIO DE OLIVEIRA,28,PRTB
MS,DEPUTADO ESTADUAL,11700,EVANDER VENDRAMINI,11,PP
RJ,DEPUTADO ESTADUAL,36136,FERNANDO DIAS O BARBEIRO,36,AGIR
RN,DEPUTADO FEDERAL,5522,OZEIAS DE PAULA,55,PSD
RJ,1� SUPLENTE,400,ANDERSON QUACK,40,PSB
MG,DEPUTADO FEDERAL,4444,DELEGADO MARCELO FREITAS,44,UNI�O
GO,DEPUTADO ESTADUAL,36333,CARLOS BUIU,36,AGIR
RJ,DEPUTADO FEDERAL,2736,CARLOS PERR�TO,27,DC
MG,DEPUTADO FEDERAL,2240,EMIDINHO MADEIRA,22,PL
PE,VICE-GOVERNADOR,45,PRISCILA KRAUSE,23,CIDADANIA
CE,DEPUTADO ESTADUAL,45405,L�CIA MEDINA,45,PSDB
SP,DEPUTADO FEDERAL,1953,VERA DA PERTIGALETE,19,PODE
SP,DEPUTADO ESTADUAL,35553,ENEAS SALES,35,PMB
MG,DEPUTADO ESTADUAL,10316,WALISSON DANONE,10,REPUBLICANOS
BA,DEPUTADO FEDERAL,2262,EDNA SANTOS,22,PL
MA,DEPUTADO FEDERAL,7700,LAVIER SANTOS,77,SOLIDARIEDADE
RS,DEPUTADO FEDERAL,4421,AXI MONCORVO,44,UNI�O
RN,DEPUTADO ESTADUAL,70800,PROFESSORA JO�RES,70,AVANTE
AM,DEPUTADO ESTADUAL,35123,WILLIAM ABREU,35,PMB
ES,DEPUTADO ESTADUAL,20100,WESLEY PIRES,20,PSC
RJ,DEPUTADO ESTADUAL,20507,EDI CASA,20,PSC
CE,DEPUTADO ESTADUAL,10220,ALEXANDRE MAFRA,10,REPUBLICANOS
MA,DEPUTADO FEDERAL,7030,ALFREDO CORREA,70,AVANTE
SC,DEPUTADO ESTADUAL,22662,MOACIR BERTOLDI,22,PL
RS,DEPUTADO ESTADUAL,70054,DJ BETTONI,70,AVANTE
SP,DEPUTADO FEDERAL,5135,PATR�CIA DE SANTOS,51,PATRIOTA
RJ,DEPUTADO FEDERAL,5111,VANESSA BASONI,51,PATRIOTA
GO,DEPUTADO FEDERAL,3001,DEMONTIER CAMELO,30,NOVO
RJ,DEPUTADO ESTADUAL,22200,THIAGO GAGLIASSO,22,PL
CE,DEPUTADO ESTADUAL,70200,THIAGUINHO MALA MANSA,70,AVANTE
PI,DEPUTADO ESTADUAL,15999,ZIZA CARVALHO,15,MDB
RN,DEPUTADO ESTADUAL,14333,AUGUSTO POL�MICO,14,PTB
RN,DEPUTADO ESTADUAL,12333,GLACIA MARILLAC,12,PDT
MG,DEPUTADO ESTADUAL,33654,IRM�O NELSON,33,PMN
RS,DEPUTADO FEDERAL,4456,FORTUNATI,44,UNI�O
AC,DEPUTADO ESTADUAL,15234,NESIO CARVALHO,15,MDB
PR,DEPUTADO ESTADUAL,11211,NANTES,11,PP
AC,DEPUTADO ESTADUAL,90987,ROSILDA SILVA,90,PROS
SP,DEPUTADO ESTADUAL,70180,SANDRA DAMASCENO,70,AVANTE
AC,DEPUTADO FEDERAL,3647,LEO DO WALDEMAR MACIEL,36,AGIR
MG,DEPUTADO ESTADUAL,27010,DR GILMAR,27,DC
SP,DEPUTADO FEDERAL,2714,CARLINHOS NEG�O,27,DC
MG,DEPUTADO ESTADUAL,44994,MARIA VANUZIA,44,UNI�O
RN,GOVERNADOR,13,FATIMA BEZERRA,13,PT
RS,DEPUTADO ESTADUAL,50570,FABY GOMEZ,50,PSOL
ES,DEPUTADO FEDERAL,4444,THIAGO CARREIRO,44,UNI�O
PA,DEPUTADO FEDERAL,5013,GIZELLE MULHERES AMAZ�NIDAS,50,PSOL
PR,DEPUTADO ESTADUAL,51125,SUBTENENTE CLAYTON,51,PATRIOTA
ES,DEPUTADO ESTADUAL,10345,NASCIMENTO,10,REPUBLICANOS
SP,DEPUTADO ESTADUAL,33888,CAIO DO POVO,33,PMN
MG,DEPUTADO ESTADUAL,55901,F�BIO JUNIO TAXISTA,55,PSD
CE,DEPUTADO ESTADUAL,36700,PRETO RAP DO COLETIVO � O GERA,36,AGIR
PE,DEPUTADO ESTADUAL,12111,WILBER MATEUS,12,PDT
AL,DEPUTADO ESTADUAL,70190,FLAVIO POLICIAL,70,AVANTE
RJ,DEPUTADO FEDERAL,1562,MARLUCIA DE B�ZIOS,15,MDB
RJ,DEPUTADO ESTADUAL,40040,MOMBA�A,40,PSB
MG,DEPUTADO FEDERAL,4599,LEANDRO NEVES,45,PSDB
SP,DEPUTADO ESTADUAL,28289,PASCOAL LEAL,28,PRTB
RS,DEPUTADO ESTADUAL,28111,SILVIO MARINO,28,PRTB
PA,DEPUTADO ESTADUAL,18004,JO�O DO BINHA,18,REDE
RS,DEPUTADO FEDERAL,5177,ALDEMIR FOGA�A FOGACINHA,51,PATRIOTA
SE,DEPUTADO FEDERAL,5000,MANO SINHO,50,PSOL
MT,DEPUTADO ESTADUAL,19856,FERNANDA DA VERDADE,19,PODE
RJ,DEPUTADO ESTADUAL,33336,ENO DO BAL�O,33,PMN
AL,DEPUTADO FEDERAL,4333,EDUARDO CANUTO,43,PV
MA,DEPUTADO ESTADUAL,90345,SARGENTO MENDES ,90,PROS
BA,DEPUTADO FEDERAL,9015,MICHELLE,90,PROS
PR,DEPUTADO FEDERAL,1440,CL�O DE LIMA VIGILANTE E CAC,14,PTB
RJ,DEPUTADO ESTADUAL,12666,ZEZE AMIGA DE FE,12,PDT
GO,DEPUTADO ESTADUAL,35011,SANDRO MACEDO,35,PMB
MG,DEPUTADO ESTADUAL,15222,VALDIR GOMES,15,MDB
MS,DEPUTADO ESTADUAL,11333,MARCIA ROMERO,11,PP
RO,DEPUTADO ESTADUAL,35000,ORIANA CAMARGO,35,PMB
SC,DEPUTADO ESTADUAL,27022,CABO BENASSI,27,DC
SC,DEPUTADO ESTADUAL,45123,SORAYA MICHELS,45,PSDB
DF,GOVERNADOR,21,TEODORO DA CRUZ T�O,21,PCB
RN,DEPUTADO ESTADUAL,65123,LUCICLAUDIO ,65,PC do B
RS,DEPUTADO ESTADUAL,23555,FERNANDO RESNER,23,CIDADANIA
AP,DEPUTADO ESTADUAL,44555,JORGE AMANAJAS,44,UNI�O
MG,DEPUTADO ESTADUAL,90277,WALTER OLIVEIRA,90,PROS
RS,DEPUTADO ESTADUAL,45525,VANUSA DA ROSA,45,PSDB
RJ,DEPUTADO ESTADUAL,90001,LEANDRO SERRI,90,PROS
PE,DEPUTADO FEDERAL,6565,AILZA TRAJANO,65,PC do B
RO,DEPUTADO ESTADUAL,14007,MARCOS LEGAL,14,PTB
RS,DEPUTADO ESTADUAL,11444,RUIVO,11,PP
ES,DEPUTADO ESTADUAL,35111,JAMES OLIVEIRA,35,PMB
PA,2� SUPLENTE,222,FABRICIA BARRUDADA,22,PL
MG,DEPUTADO ESTADUAL,10800,MAURO TRAMONTE,10,REPUBLICANOS
SP,DEPUTADO ESTADUAL,90100,SAAD,90,PROS
RJ,DEPUTADO FEDERAL,5151,CRISTOV�O,51,PATRIOTA
BA,DEPUTADO FEDERAL,1508,TONISLEI SANTA CRUZ,15,MDB
PR,DEPUTADO ESTADUAL,50069,ADALTO MELO,50,PSOL
AL,DEPUTADO FEDERAL,4455,RODRIGO VALEN�A,44,UNI�O
RS,DEPUTADO ESTADUAL,12050,THIAGO DE LEON,12,PDT
SP,DEPUTADO ESTADUAL,40077,EDSON PC,40,PSB
AL,DEPUTADO ESTADUAL,40193,F�BIO DA ASSOCIA��O,40,PSB
PR,DEPUTADO FEDERAL,1888,Z� MARIA,18,REDE
GO,DEPUTADO ESTADUAL,13212,GUI AZAMBUJA,13,PT
GO,DEPUTADO ESTADUAL,43043,JO�O PAULO,43,PV
SP,DEPUTADO ESTADUAL,29129,LARISSA MACHADO,29,PCO
PE,DEPUTADO FEDERAL,2906,D�BORA GOMES,29,PCO
PR,DEPUTADO ESTADUAL,33174,BATATA O REP�RTER DO POVO,33,PMN
RN,DEPUTADO FEDERAL,1100,C�CERO MARTINS,11,PP
RJ,DEPUTADO FEDERAL,1503,PASTORA B�RBARA,15,MDB
BA,DEPUTADO FEDERAL,9099,THIAGO COSTA,90,PROS
TO,DEPUTADO FEDERAL,2023,ROBERT DELMONDES,20,PSC
MT,DEPUTADO ESTADUAL,15222,PROFESSORA AD�LIA,15,MDB
BA,DEPUTADO FEDERAL,2855,TITIA,28,PRTB
RS,DEPUTADO FEDERAL,1519,ANSELMO RODRIGUES,15,MDB
RJ,DEPUTADO ESTADUAL,22651,ROGERIO DO SAL�O,22,PL
PB,DEPUTADO ESTADUAL,40229,GUSTAVO DE SOUZA,40,PSB
BA,DEPUTADO ESTADUAL,28456,ROQUE PEREIRA,28,PRTB
SP,DEPUTADO ESTADUAL,80080,JO�O COELHO,80,UP
MT,DEPUTADO FEDERAL,3640,LUIZ CARLOS,36,AGIR
ES,DEPUTADO FEDERAL,1133,MARCOS GARCIA,11,PP
DF,DEPUTADO DISTRITAL,11192,ERALDO DA SA�DE,11,PP
TO,DEPUTADO ESTADUAL,27999,YASMIN ANGELIM,27,DC
PR,DEPUTADO FEDERAL,1813,DR JO�O BATISTA ADVOGADO,18,REDE
MG,DEPUTADO FEDERAL,2099,WILSON CARVALHO MARCENEIRO,20,PSC
PR,DEPUTADO FEDERAL,1007,FABIO DO VALE DO IVAI,10,REPUBLICANOS
MG,DEPUTADO ESTADUAL,28787,AMILTON BRUMADINHO,28,PRTB
PB,DEPUTADO FEDERAL,3555,EDSON ALVES,35,PMB
RS,SENADOR,111,COMANDANTE N�DIA,11,PP
BA,DEPUTADO FEDERAL,1232,GLEB�O,12,PDT
PA,DEPUTADO FEDERAL,6565,ELLANA SILVA,65,PC do B
GO,DEPUTADO FEDERAL,4004,DRA. IVANE,40,PSB
RN,DEPUTADO FEDERAL,7722,BARBARA DANTAS,77,SOLIDARIEDADE
PR,DEPUTADO ESTADUAL,19190,FABIO OLIVEIRA,19,PODE
SP,DEPUTADO FEDERAL,1011,RICARDO IZAR JUNIOR,10,REPUBLICANOS
AP,DEPUTADO ESTADUAL,28000,PATRICK ARAGAO,28,PRTB
AL,DEPUTADO ESTADUAL,11789,GABI GONCALVES,11,PP
PA,DEPUTADO ESTADUAL,10555,PEDAGOGO JEAN LOBATO,10,REPUBLICANOS
PR,DEPUTADO ESTADUAL,20000,PROFESSOR REINALDO,20,PSC
PA,DEPUTADO ESTADUAL,13313,NAZAR� BANCADA MANAS DE LUTA,13,PT
RN,DEPUTADO ESTADUAL,70100,ALLINE FERNANDES,70,AVANTE
BA,DEPUTADO ESTADUAL,22120,IVAN,22,PL
SP,DEPUTADO ESTADUAL,36551,NERINALVA,36,AGIR
SP,DEPUTADO ESTADUAL,19030,GABRIEL THOR,19,PODE
SP,DEPUTADO FEDERAL,7051,DINEI,70,AVANTE
PA,DEPUTADO ESTADUAL,70888,MEL NASCIMENTO,70,AVANTE
PI,DEPUTADO FEDERAL,3322,TA�S SOUSA,33,PMN
SP,DEPUTADO FEDERAL,3663,ELIAS TEIXEIRA TREINADOR,36,AGIR
TO,SENADOR,131,VILELA DO PT,13,PT
TO,DEPUTADO ESTADUAL,12555,HENRIQUE TAQUARI,12,PDT
PA,DEPUTADO FEDERAL,3636,DRA. SOCORRO PINHEIRO,36,AGIR
SP,DEPUTADO FEDERAL,7080,CLOVIS COLETIVO TRANSPAR�NCIA,70,AVANTE
MA,DEPUTADO FEDERAL,3607,LUIS ROCHA,36,AGIR
SP,DEPUTADO FEDERAL,2220,DANILO RAMOS,22,PL
AL,DEPUTADO FEDERAL,5055,ANINHA DE BACUCA,50,PSOL
MG,DEPUTADO FEDERAL,3622,JUDEU BRASILEIRO - B NEI ANUSS,36,AGIR
ES,DEPUTADO ESTADUAL,11022,CORONEL FORESTI,11,PP
RR,DEPUTADO ESTADUAL,50444,MEIRINHA MACUXI,50,PSOL
SP,DEPUTADO FEDERAL,2233,PAULO FREIRE DA COSTA,22,PL
DF,DEPUTADO DISTRITAL,27111,SOLANGE HOLANDA,27,DC
CE,DEPUTADO FEDERAL,3378,JO�O PAULO,33,PMN
SP,DEPUTADO ESTADUAL,50001,CLAUDIA MONTANARI,50,PSOL
PR,DEPUTADO FEDERAL,7733,HUMBERTO HENRIQUE,77,SOLIDARIEDADE
RJ,DEPUTADO FEDERAL,1417,RAQUEL MACIEL,14,PTB
SP,DEPUTADO FEDERAL,2856,TAINA MIRANDA,28,PRTB
MG,DEPUTADO ESTADUAL,18001,MIGUEL ROCHA,18,REDE
CE,DEPUTADO ESTADUAL,44345,BOSCO CID,44,UNI�O
PA,DEPUTADO ESTADUAL,11111,ALEX SANTIAGO,11,PP
CE,DEPUTADO FEDERAL,1456,DR MARIGESIO,14,PTB
SC,DEPUTADO ESTADUAL,15515,CARELLI,15,MDB
PB,DEPUTADO ESTADUAL,11007,TARCISIO JARDIM,11,PP
MG,DEPUTADO FEDERAL,4373,ROSANA CACAU,43,PV
AP,DEPUTADO ESTADUAL,18777,DAVI BESSA,18,REDE
MG,DEPUTADO ESTADUAL,30444,MARCELO CABRAL,30,NOVO
SC,DEPUTADO FEDERAL,7770,ARNALDO LOVATEL,77,SOLIDARIEDADE
SP,DEPUTADO ESTADUAL,22013,TIAGO PERETTO,22,PL
AM,DEPUTADO ESTADUAL,45456,SOCORRO GRANJEIRO,45,PSDB
MG,DEPUTADO ESTADUAL,22707,ANDREA HORTA,22,PL
GO,DEPUTADO ESTADUAL,36002,FLAVIA GARI,36,AGIR
RN,DEPUTADO ESTADUAL,50005,VALERIA ROCHA,50,PSOL
AL,DEPUTADO ESTADUAL,15150,SARGENTO DANI,15,MDB
MG,DEPUTADO ESTADUAL,30200,LEONARDO VITOR,30,NOVO
MA,DEPUTADO ESTADUAL,90147,RAIMUNDO GUAJAJARA,90,PROS
TO,DEPUTADO ESTADUAL,55800,PROF. DEUZELINA CHAGAS,55,PSD
AP,DEPUTADO ESTADUAL,40044,PROF HALDA AMORAS,40,PSB
ES,DEPUTADO ESTADUAL,10300,HUDSON LEAL,10,REPUBLICANOS
BA,DEPUTADO ESTADUAL,20422,VERA NOGUEIRA,20,PSC
SP,DEPUTADO ESTADUAL,44110,H�LIO MALHEIROS,44,UNI�O
AP,DEPUTADO ESTADUAL,22777,AMELIANY AZEVEDO,22,PL
BA,DEPUTADO ESTADUAL,44456,NONON,44,UNI�O
MG,DEPUTADO FEDERAL,1214,NILZA RAMOS,12,PDT
MA,DEPUTADO FEDERAL,7733,FRANKLIN PACHECO,77,SOLIDARIEDADE
PR,DEPUTADO FEDERAL,3303,DR. FL�VIA MAGALH�ES,33,PMN
BA,DEPUTADO ESTADUAL,22622,JACKSON AYRES,22,PL
PA,DEPUTADO ESTADUAL,19111,IGOR NORMANDO,19,PODE
RJ,DEPUTADO FEDERAL,1545,GILBERTO DANIEL,15,MDB
MS,DEPUTADO FEDERAL,1140,M�RCIO ARAGUAIA ,11,PP
RO,GOVERNADOR,50,PIMENTA DE RONDONIA,50,PSOL
RO,SENADOR,123,ACIR GURGACZ,12,PDT
AL,DEPUTADO ESTADUAL,70500,ZE MARIA TENORIO,70,AVANTE
TO,DEPUTADO FEDERAL,2300,EMMANOEL MARLON,23,CIDADANIA
MT,DEPUTADO ESTADUAL,27007,LUCIENE FERREIRA,27,DC
AP,DEPUTADO FEDERAL,5111,ROBERTO NEGR�O,51,PATRIOTA
SP,DEPUTADO ESTADUAL,44888,WALTER MARTINS J�NIOR,44,UNI�O
SC,VICE-GOVERNADOR,10,UDO DOHLER,15,MDB
RJ,DEPUTADO FEDERAL,2864,ANDREA PAOLA A ARACI EMPREGADA,28,PRTB
SC,DEPUTADO FEDERAL,1516,SARGENTO LAMIM,15,MDB
MG,DEPUTADO FEDERAL,5557,VOLUNT�RIO LUIZ OT�VIO FRANCO,55,PSD
MG,DEPUTADO FEDERAL,5566,DANIEL CARVALHO,55,PSD
AC,DEPUTADO ESTADUAL,55655,MIRTES SOUZA,55,PSD
MS,DEPUTADO ESTADUAL,18888,ARTHUR KOGA,18,REDE
MA,1� SUPLENTE,161,WAGNER SILVA,16,PSTU
RR,DEPUTADO ESTADUAL,20456,KARINE MELO,20,PSC
SE,DEPUTADO FEDERAL,4523,HEBERT COLETIVO SOMOS MAIS,45,PSDB
PA,DEPUTADO ESTADUAL,20123,ANANIAS NAUAR,20,PSC
SC,DEPUTADO FEDERAL,5013,F�BIO DE OLIVEIRA,50,PSOL
PR,DEPUTADO FEDERAL,1401,BISCAIA,14,PTB
PR,DEPUTADO FEDERAL,1455,DR MAGNO,14,PTB
PE,DEPUTADO ESTADUAL,44999,PATR�CIA HENRY,44,UNI�O
RJ,DEPUTADO ESTADUAL,28333,ANDRE CALDAS,28,PRTB
SP,DEPUTADO FEDERAL,3625,EDVALDO RANZANI,36,AGIR
PI,DEPUTADO ESTADUAL,13654,DILIA FALC�O ,13,PT
PA,DEPUTADO ESTADUAL,13013,NIC J�NIOR VOZES MARAJOARAS ,13,PT
RS,DEPUTADO ESTADUAL,51222,VIVIANE MAGALH�ES,51,PATRIOTA
PB,DEPUTADO ESTADUAL,77789,IRM�O C�ZAR,77,SOLIDARIEDADE
GO,DEPUTADO ESTADUAL,13188,LUIS CESAR BUENO,13,PT
RS,DEPUTADO ESTADUAL,65065,BRUNA E COLETIVO,65,PC do B
SP,DEPUTADO ESTADUAL,10321,SEBASTI�O SANTOS,10,REPUBLICANOS
AC,VICE-GOVERNADOR,13,MARCUS ALEXANDRE,13,PT
GO,DEPUTADO ESTADUAL,55300,DINAIR,55,PSD
CE,1� SUPLENTE,700,GELSON FERRAZ,70,AVANTE
RN,DEPUTADO FEDERAL,7755,PROFESSORA NILDA,77,SOLIDARIEDADE
PR,DEPUTADO FEDERAL,7788,LUIZ�O GOULART,77,SOLIDARIEDADE
BA,DEPUTADO ESTADUAL,44800,DR. DAVID RIOS,44,UNI�O
RJ,DEPUTADO FEDERAL,1224,STELLA GAIO,12,PDT
RJ,DEPUTADO ESTADUAL,51122,MARCELUS EDGREN,51,PATRIOTA
SP,DEPUTADO ESTADUAL,27700,ENFERMEIRA ADRIANA,27,DC
MA,DEPUTADO ESTADUAL,36888,PAULO CESAR GRANDE,36,AGIR
SP,DEPUTADO ESTADUAL,70170,DR CHAGAS,70,AVANTE
SP,DEPUTADO FEDERAL,9031,RICARDO DATENA,90,PROS
SP,DEPUTADO ESTADUAL,51700,DILSINHO PANTALE�O,51,PATRIOTA
MG,DEPUTADO ESTADUAL,30030,BERNARDO SILVIANO BRAND�O,30,NOVO
RR,DEPUTADO ESTADUAL,10222,TEIXEIRA,10,REPUBLICANOS
CE,DEPUTADO FEDERAL,2323,MORONI,23,CIDADANIA
MG,DEPUTADO ESTADUAL,40013,ANDR�IA BRITO,40,PSB
MG,DEPUTADO ESTADUAL,35450,PATRICIA MARCELINO,35,PMB
RJ,DEPUTADO ESTADUAL,12555,GERSON MACHADO,12,PDT
RJ,DEPUTADO FEDERAL,4553,ELYANE SOUZA,45,PSDB
RR,DEPUTADO FEDERAL,1411,ORIB ZIEDSON,14,PTB
PA,DEPUTADO ESTADUAL,70220,GUTO CARDOSO,70,AVANTE
BA,DEPUTADO FEDERAL,1991,ANA RITA TAVARES,19,PODE
RS,DEPUTADO ESTADUAL,30555,FERNANDO GA�CHO,30,NOVO
MG,DEPUTADO ESTADUAL,70190,CABO DERLAN MIRANDA,70,AVANTE
BA,DEPUTADO ESTADUAL,22422,JONATAN SILVA,22,PL
RJ,DEPUTADO ESTADUAL,33966,MARINA LIMA,33,PMN
CE,DEPUTADO FEDERAL,1556,DOM CLAUDIO,15,MDB
AP,DEPUTADO ESTADUAL,15015,KELMAN MONTEIRO,15,MDB
BA,DEPUTADO FEDERAL,4460,ROLAND LAVIGNE,44,UNI�O
RO,DEPUTADO ESTADUAL,44140,ADEILSO DA SILVA,44,UNI�O
RJ,DEPUTADO ESTADUAL,19021,LUCIANA TAMBURINI,19,PODE
AL,DEPUTADO ESTADUAL,10001,STUART MANSO,10,REPUBLICANOS
SP,DEPUTADO FEDERAL,2866,JANAINA BUCKER RIEDO,28,PRTB
AM,DEPUTADO ESTADUAL,33678,EULER MOURA,33,PMN
PE,DEPUTADO ESTADUAL,14522,PROFESSOR GENESIANO,14,PTB
MG,DEPUTADO FEDERAL,3302,DIEGO DELGADO,33,PMN
MA,DEPUTADO ESTADUAL,18222,PROFESSOR MARCOS FREITAS,18,REDE
MG,DEPUTADO FEDERAL,2882,JOSMAR DO ARTESANATO,28,PRTB
MG,DEPUTADO ESTADUAL,45240,M�RCIO VICTOR,45,PSDB
DF,DEPUTADO DISTRITAL,36379,RAVAN LE�O,36,AGIR
SP,DEPUTADO ESTADUAL,35400,WILLIAM PALMA,35,PMB
PR,DEPUTADO FEDERAL,4467,PROFESSORA VERA EUNICE,44,UNI�O
SP,DEPUTADO ESTADUAL,22765,ROCHA,22,PL
DF,DEPUTADO DISTRITAL,19141,AMIGOS DA LIAH,19,PODE
SC,DEPUTADO ESTADUAL,40555,JULIANO CAMPOS,40,PSB
PR,DEPUTADO FEDERAL,2710,LEOVIR DE OLIVEIRA,27,DC
DF,SENADOR,142,MARCELO HIP�LITO,14,PTB
RJ,DEPUTADO ESTADUAL,70384,PAULO CEBOLA,70,AVANTE
MA,DEPUTADO ESTADUAL,40115,SANDRA OLIVEIRA,40,PSB
SP,DEPUTADO FEDERAL,3369,FRANCISCO JOS�,33,PMN
SP,DEPUTADO ESTADUAL,77190,CABO CELIMAR,77,SOLIDARIEDADE
DF,DEPUTADO FEDERAL,7761,WILMA MENEZES,77,SOLIDARIEDADE
SP,DEPUTADO ESTADUAL,77200,MARISSOL ASSISTENTE SOCIAL,77,SOLIDARIEDADE
RO,DEPUTADO ESTADUAL,70000,JAIR MONTES,70,AVANTE
ES,DEPUTADO ESTADUAL,65777,LINO BRESSANELLE,65,PC do B
SP,DEPUTADO ESTADUAL,10003,HELIO RAMOS,10,REPUBLICANOS
AP,DEPUTADO FEDERAL,4040,CAMILO CAPIBERIBE,40,PSB
DF,DEPUTADO DISTRITAL,12000,JOVITA ROSA,12,PDT
RR,DEPUTADO ESTADUAL,51234,MISSION�RIO SANDRO GADITA,51,PATRIOTA
PE,DEPUTADO ESTADUAL,12333,FALC�O BEN� PROFESSOR,12,PDT
