SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO
TO,DEPUTADO ESTADUAL,15007,DENIZE DE FREITAS,15,MDB
SC,DEPUTADO ESTADUAL,77321,BIANO SOUZA,77,SOLIDARIEDADE
RJ,DEPUTADO FEDERAL,2282,GABRIEL MONTEIRO,22,PL
SP,DEPUTADO FEDERAL,1064,BENE DANITA,10,REPUBLICANOS
MA,DEPUTADO FEDERAL,2245,OCIL�IA FERNANDES,22,PL
DF,DEPUTADO DISTRITAL,77234,SAMUEL GA�CHO,77,SOLIDARIEDADE
PR,DEPUTADO ESTADUAL,35019,ISRAEL ARANTES,35,PMB
PE,DEPUTADO FEDERAL,7711,ROSINHA DE CARLOS RODOLFO,77,SOLIDARIEDADE
PR,DEPUTADO FEDERAL,1433,THOMAS KORONTAI TK,14,PTB
BA,DEPUTADO FEDERAL,1199,GEORGE O GORDINHO DA FAVELA,11,PP
PR,DEPUTADO ESTADUAL,19000,CAROL ARNS,19,PODE
RR,DEPUTADO ESTADUAL,90126,LENE DO CARTUXU,90,PROS
RJ,DEPUTADO ESTADUAL,45735,NORINHO,45,PSDB
RJ,DEPUTADO FEDERAL,2242,ANDREA FONTES,22,PL
CE,DEPUTADO ESTADUAL,70400,CHICO DO POSTO,70,AVANTE
PE,DEPUTADO FEDERAL,3311,PASTOR EDILSON SOUZA,33,PMN
SP,DEPUTADO ESTADUAL,10020,SILVIO ALESSANDER,10,REPUBLICANOS
PA,DEPUTADO ESTADUAL,80123,RAQUEL BR�CIO,80,UP
MG,DEPUTADO FEDERAL,5145,JOSIANE CARMO,51,PATRIOTA
MS,DEPUTADO ESTADUAL,19307,LEDA BRUM,19,PODE
RS,DEPUTADO FEDERAL,1980,LUIS FERNANDO BRAITE,19,PODE
RS,DEPUTADO FEDERAL,1525,CARMEN FERREIRA,15,MDB
RJ,DEPUTADO ESTADUAL,40004,RENATO PELLIZZARI,40,PSB
RJ,DEPUTADO ESTADUAL,40113,PROF. MARCELO MARTINS,40,PSB
SP,DEPUTADO ESTADUAL,12443,VERONICA,12,PDT
RJ,DEPUTADO FEDERAL,4070,RAONE FERREIRA,40,PSB
SC,DEPUTADO ESTADUAL,12100,CI�A M�LLER,12,PDT
PR,GOVERNADOR,29,ADRIANO TEIXEIRA,29,PCO
RJ,DEPUTADO FEDERAL,6500,ASSIS FREITAS,65,PC do B
AL,DEPUTADO FEDERAL,1616,PAULO FALC�O,16,PSTU
RJ,DEPUTADO ESTADUAL,40112,F�BIO MIGUEL,40,PSB
TO,DEPUTADO ESTADUAL,22022,CONCEI��O DO AGRO,22,PL
SP,DEPUTADO ESTADUAL,12212,NEUDES BANCADA TRABALHISTA,12,PDT
GO,DEPUTADO FEDERAL,1312,KEDMA KAREN,13,PT
PB,DEPUTADO ESTADUAL,55777,JAIRO GOMES,55,PSD
RJ,DEPUTADO FEDERAL,1578,L�O LEAL,15,MDB
PR,DEPUTADO FEDERAL,5522,LUIZ NISHIMORI,55,PSD
PE,DEPUTADO ESTADUAL,14123,KLEBER SHAMPOO,14,PTB
SP,DEPUTADO ESTADUAL,19197,ELIANA GOTTSFRITZ,19,PODE
PR,DEPUTADO FEDERAL,1811,DRA ARLETE,18,REDE
AM,DEPUTADO ESTADUAL,40440,IRENE GON�ALVES,40,PSB
RR,DEPUTADO ESTADUAL,23700,PROF CICERO,23,CIDADANIA
PR,DEPUTADO FEDERAL,1123,ALBORGHETTI NETO,11,PP
PR,DEPUTADO FEDERAL,1125,KEYLA AVILA,11,PP
MG,DEPUTADO ESTADUAL,22190,SARGENTO JALYSON,22,PL
RJ,DEPUTADO FEDERAL,2846,GASPAR STEIN,28,PRTB
SP,DEPUTADO ESTADUAL,18123,EMERSON OSASCO,18,REDE
PA,DEPUTADO ESTADUAL,70015,MANOEL MARTINS,70,AVANTE
AM,DEPUTADO ESTADUAL,14567,KELEN MACHADO,14,PTB
PA,DEPUTADO FEDERAL,9091,IOLANDA PARENTE,90,PROS
RJ,DEPUTADO FEDERAL,2877,DENIS DE PAULA,28,PRTB
MG,DEPUTADO ESTADUAL,15017,ALDO MATOS SGT,15,MDB
PR,DEPUTADO ESTADUAL,15123,PROF NEVES,15,MDB
RO,DEPUTADO ESTADUAL,51300,SIMONE MACEDO,51,PATRIOTA
SC,DEPUTADO FEDERAL,1188,MARILISE MARTINEZ,11,PP
RJ,DEPUTADO FEDERAL,1525,ELBA BARCELLOS,15,MDB
SP,DEPUTADO ESTADUAL,20190,SOLDADO MADALHANO,20,PSC
BA,DEPUTADO ESTADUAL,13123,EUCLIDES FERNANDES,13,PT
BA,DEPUTADO FEDERAL,5151,COMPODONIO,51,PATRIOTA
RS,DEPUTADO FEDERAL,2090,JOSI RAMOS,20,PSC
PR,DEPUTADO ESTADUAL,44380,ERNANI,44,UNI�O
BA,DEPUTADO ESTADUAL,15027,CIDA DISOUZA,15,MDB
PR,DEPUTADO FEDERAL,1939,EDU DA R�DIO,19,PODE
MG,DEPUTADO FEDERAL,2231,ANISDEI LIMA,22,PL
SP,DEPUTADO FEDERAL,3015,CIBELE FRANCO,30,NOVO
PR,DEPUTADO FEDERAL,2311,LET�CIA FABIANA,23,CIDADANIA
RS,GOVERNADOR,45,EDUARDO LEITE,45,PSDB
SC,VICE-GOVERNADOR,44,ERON GIORDANI,44,UNI�O
AM,DEPUTADO ESTADUAL,36789,PROF MEQUIAS FONSECA,36,AGIR
RJ,DEPUTADO ESTADUAL,23282,MARCILIO FERREIRA,23,CIDADANIA
RS,DEPUTADO FEDERAL,7755,AIRTON PEREIRA DA SILVA,77,SOLIDARIEDADE
SP,DEPUTADO ESTADUAL,15888,DELEGADO ADOLPHO HENRIQUE,15,MDB
CE,DEPUTADO FEDERAL,1212,LE�NIDAS CRISTINO,12,PDT
PE,DEPUTADO ESTADUAL,18111,SOUZA VIGILANTE,18,REDE
MG,DEPUTADO ESTADUAL,40369,VAGNER DE OLIVEIRA,40,PSB
RJ,DEPUTADO ESTADUAL,51630,PEDRO GARRIDO,51,PATRIOTA
PI,DEPUTADO FEDERAL,1944,F�BIO S�RVIO,19,PODE
MG,DEPUTADO ESTADUAL,44999,NEGUINHO,44,UNI�O
MG,DEPUTADO ESTADUAL,12121,DRA SALMA,12,PDT
SP,DEPUTADO FEDERAL,5502,FABI�O SJC,55,PSD
MG,DEPUTADO ESTADUAL,28991,STEPHANIE FERNANDES,28,PRTB
